Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2020,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),8.2,,,8,8.5,14676311,,,
2020,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),9.1,,,7.9,10.5,219389,,,
2020,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),9.1,,,7.5,11,37386,,,
2020,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),10.1,,,9,11.2,388301,,,
2020,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),9,,,7.5,10.7,130642,,,
2020,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),7,,,6,8.2,1558103,,,
2020,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),8.6,,,7.9,9.5,294327,,,
2020,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),6.1,,,5.2,7.2,120310,,,
2020,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),6.8,,,5.4,8.4,34197,,,
2020,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),5.5,,,4.4,6.8,24047,,,
2020,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),11.2,,,9.5,13,1214945,,,
2020,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),11.1,,,9.8,12.6,627939,,,
2020,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),4.4,,,3.7,5.2,36592,,,
2020,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),7.6,,,6.5,8.8,69603,,,
2020,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),9.2,,,7.7,10.8,655831,,,
2020,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),8.3,,,7.4,9.3,286506,,,
2020,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,,,Yes,Age-adjusted Prevalence (%),5.8,,,5.1,6.5,99786,,,
